"SN","CRT_DT","MSG_CN","RCPTN_RGN_NM","EMRG_STEP_NM","DST_SE_NM","REG_YMD","MDFCN_YMD"
"일련번호","생성일시","메시지내용","수신지역명","긴급단계명","재해구분명","등록일자","수정일자"
"205163","2023/09/16 11:09:49","[행정안전부] 오늘 11시10분 부산 호우경보, 산사태ㆍ상습침수 등 위험지역 대피, 외출자제 등 안전에 주의바랍니다","부산광역시 전체 ","안전안내","호우","2023-09-16","2023-09-16"
"205164","2023/09/16 11:11:56","[울주군]오늘부터 내일까지 많은 비가 예상되고 있습니다. 하천변 산책로, 계곡, 저지대, 산 인접지 등 위험 지역에는 접근 삼가해주시기 바랍니다.","울산광역시 울주군 ","안전안내","호우","2023-09-16","2023-09-16"
"205165","2023/09/16 11:12:53","[부산광역시] 오늘 11시 10분 부산지역 호우경보. 저지대, 침수 우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다","부산광역시 전체 ","안전안내","호우","2023-09-16","2023-09-16"
"205166","2023/09/16 11:14:58","[진도군]10:50 호우주의보 발효. 내일까지 많은 비가 예상되니 외출자제 및 위험지역(하천변, 산사태 등) 접근 금지, 위험 징후 발견 시 즉시 대피 바랍니다.","전라남도 진도군 ","안전안내","호우","2023-09-16","2023-09-16"
"205167","2023/09/16 11:22:36","[경상남도] 남해고속도로 진성IC 인근 부산방향의 화물차 사고로, 양방향 극심한 정체중이니 국도우회하여 주시기 바랍니다","경상남도 전체 ","안전안내","교통통제","2023-09-16","2023-09-16"
"205168","2023/09/16 11:25:08","[한국수자원공사] 9월 16일 15시부터 주암댐 초당 200톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.","경상남도 하동군 ,전라남도 곡성군 ,전라남도 광양시 ,전라남도 구례군 ,전라남도 순천시 ","안전안내","기타","2023-09-16","2023-09-16"
"205169","2023/09/16 11:28:58","[양산시청] 오늘 10시 30분 호우주의보 발효중. 하천변산책로, 산사태위험지와 저지대 침수우려지역 접근금지 및 지하차도 운행시 안전에 주의하시기 바랍니다.","경상남도 양산시 ","안전안내","호우","2023-09-16","2023-09-16"
"205170","2023/09/16 11:32:21","[상주시] 상주지역에 호우예비특보발표 밤사이 많은 비 예보. 외출자재, 하천변 접근금지, 급경사지 인근 및 산사태 위험지역 근처 주민은 안전한 곳으로 대피","경상북도 상주시 ","안전안내","호우","2023-09-16","2023-09-16"
"205171","2023/09/16 11:33:44","[경기남부경찰청]부천시에서 실종된 현명란씨(여,53세)를 찾습니다-163cm,60kg,검정반팔(어깨,허리부분 노란색),검정바지 vo.la/t5Fpt/ ☎182","경기도 부천시 ","안전안내","기타","2023-09-16","2023-09-16"
